CODIGO_MUNICIPIO;MUNICIPIO;GAL;CODIGO_GAL
44001;Ababuj;Asociación para el Desarrollo Rural e Integral de la Comarca de Teruel;G061
40001;Abades;Asociación Intermunicipal para el Desarrollo Local en la Comarca de Santa María la Real de Nieva;G155
10001;Abadía;Asociación Desarrollo Integral del Valle del Ambroz;G195
27001;Abadín;Asociación de Desenvolvemento Comarcal da Terra Chá;G218
2003;Albacete;;
31001;Abáigar;"Asociación TEDER ""Tierra Estella Desarrollo Rural""";G250
9001;Abajas;Asociación para el Desarrollo Comarcal Bureba;G134
26001;Ábalos;Asociación para el Desarrollo Rural de La Rioja Alta;G254
20001;Abaltzisketa;Asociación para el Progreso del Desarrollo Rural MENDINET;G253
19001;Abánades;Asociación para el Desarrollo Local de La Sierra Norte de Guadalajara;G120
30001;Abanilla;Asociación para el Desarrollo Comarcal del Nordeste de La Región de Murcia;G245
50001;Abanto;Asociación para el Desarrollo Rural Integral de la Comarca de Calatayud y del Aranda;
48002;Abanto y Ciérvana-Abanto Zierbena;Asociación para el Progreso del Desarrollo Rural MENDINET;G253
30002;Abarán;Asociación para el Desarrollo Rural Integrado de los municipios de La Vega del Segura;G247
34001;Abarca de Campos;Asociación Intermunicipal para el Desarrollo Local de la Comarca de Tierra de Campos Palentina;G145
31002;Abárzuza;"Asociación TEDER ""Tierra Estella Desarrollo Rural""";G250
31003;Abaurregaina/Abaurrea Alta;Asociación Cederna Garalur Elkartea Centro de Desarrollo Rural de Navarra;G249
31004;Abaurrepea/Abaurrea Baja;Asociación Cederna Garalur Elkartea Centro de Desarrollo Rural de Navarra;G249
15001;Abegondo;"Asociación de Desenvolvemento Rural ""Mariñas Betanzos""";G212
42001;Abejar;Asociación Pinares El Valle para el Desarrollo Rural Integral;G159
44002;Abejuela;Asociación para el Desarrollo Rural de Gádar, Javalambre y Maestrazgo;
25001;Abella de la Conca;Consorci Centre de Desenvolupament Rural Pallars-Ribagorça;G175
2001;Abengibre;Asociación para el Desarrollo de La Manchuela;G101
13001;Abenójar;Asociación para el Desarrollo Sostenible del Valle de Alcudia;G111
31005;Aberin;"Asociación TEDER ""Tierra Estella Desarrollo Rural""";G250
10002;Abertura;Asociación para el Desarrollo Integral de la Comarca Miajadas-Trujillo;G203
49002;Abezames;Asociación de Desarrollo Rural Integral Palomares (Vía de la Plata, Salinas, Norte Duero);G166
16001;Abia de la Obispalía;Federación para el Desarrollo de la Sierra y Mancha Conquense;G117
34003;Abia de las Torres;Asociación Intermunicipal para el Desarrollo Local de la Comarca de Tierra de Campos Palentina;G145
22001;Abiego;Centro de Desarrollo Integral del Somontano;G057
22002;Abizanda;Centro para el Desarrollo del Sobrarbe y La Ribagorza;G058
4001;Abla;Grupo de Desarrollo Rural de la Alpujarra-Sierra Nevada Almeriense;G005
19002;Ablanque;"Asociación de Desarrollo Rural ""Molina de Aragón - Alto Tajo""";G118
31006;Ablitas;Grupo de Acción Local Consorcio para las Estrategias de Desarrollo de la Ribera de Navarra (Consorcio EDER);G251
3002;Agost;;
4002;Abrucena;Grupo de Desarrollo Rural de la Alpujarra-Sierra Nevada Almeriense;G005
37001;Abusejo;Asociación para el Desarrollo de la Comarca de Ciudad Rodrigo;G148
28001;Acebeda, La;Consorcio para la Gestión del Grupo de Acción Local Sierra Norte de Madrid;G243
24001;Acebedo;Asociación Grupo de Acción Local Montaña de Riaño;G139
10003;Acebo;Asociación para el Desarrollo Integral de Sierra de Gata;G204
16002;Acebrón, El;Federación para el Desarrollo de la Sierra y Mancha Conquense;G117
6001;Acedera;Asociación para el Desarrollo de Las Vegas Altas del Guadiana;G188
10004;Acehúche;Asociación para el Desarrollo del Valle del Alagón;G200
10005;Aceituna;Asociación para el Desarrollo del Valle del Alagón;G200
50002;Acered;Asociación para el Desarrollo Rural Integral de las Tierras del Jiloca y Gallocanta;
6002;Aceuchal;Federación para el Desarrollo de Sierra Grande Tierra de Barros;G194
22003;Adahuesca;Centro de Desarrollo Integral del Somontano;G057
47001;Adalia;Asociación para el Desarrollo Endógeno en la Zona Centro de Valladolid;G163
14001;Adamuz;Asociación Desarrollo Rural Sierra Morena Cordobesa;G012
5001;Adanero;Asociación para el Desarrollo Rural Integral de La Moraña;G129
3005;Albatera;;
46001;Ademuz;Asociación para el Desarrollo Rural Valencia Interior;G262
31007;Adiós;Grupo de Acción Local de la Zona Media de Navarra;G252
