PROV;PROVMUNI;MUNINAME
1;1001;Alegría-Dulantzi
1;1002;Amurrio
1;1049;Añana
1;1003;Aramaio
1;1006;Armiñón
1;1037;Arraia-Maeztu
1;1008;Arrazua-Ubarrundia
1;1004;Artziniega
1;1009;Asparrena
1;1010;Ayala/Aiara
1;1011;Baños de Ebro/Mañueta
1;1013;Barrundia
1;1014;Berantevilla
1;1016;Bernedo
1;1017;Campezo/Kanpezu
1;1021;Elburgo/Burgelu
1;1022;Elciego
1;1023;Elvillar/Bilar
1;1046;Erriberagoitia/Ribera Alta
1;1056;Harana/Valle de Arana
1;1901;Iruña Oka/Iruña de Oca
1;1027;Iruraiz-Gauna
1;1019;Kripan
1;1020;Kuartango
1;1028;Labastida/Bastida
1;1030;Lagrán
1;1031;Laguardia
1;1032;Lanciego/Lantziego
1;1902;Lantarón
1;1033;Lapuebla de Labarca
1;1036;Laudio/Llodio
1;1058;Legutio
1;1034;Leza
1;1039;Moreda de Álava
1;1041;Navaridas
1;1042;Okondo
1;1043;Oyón-Oion
1;1044;Peñacerrada-Urizaharra
1;1047;Ribera Baja/Erribera Beitia
1;1051;Salvatierra/Agurain
1;1052;Samaniego
1;1053;San Millán/Donemiliaga
1;1054;Urkabustaiz
1;1055;Valdegovía/Gaubea
1;1057;Villabuena de Álava/Eskuernaga
1;1059;Vitoria-Gasteiz
1;1060;Yécora/Iekora
1;1061;Zalduondo
1;1062;Zambrana
1;1018;Zigoitia
1;1063;Zuia
2;2001;Abengibre
2;2002;Alatoz
2;2003;Albacete
2;2004;Albatana
2;2005;Alborea
2;2006;Alcadozo
2;2007;Alcalá del Júcar
2;2008;Alcaraz
2;2009;Almansa
2;2010;Alpera
2;2011;Ayna
2;2012;Balazote
2;2014;Ballestero, El
2;2013;Balsa de Ves
2;2015;Barrax
2;2016;Bienservida
2;2017;Bogarra
2;2018;Bonete
2;2019;Bonillo, El
2;2020;Carcelén
2;2021;Casas de Juan Núñez
2;2022;Casas de Lázaro
2;2023;Casas de Ves
2;2024;Casas-Ibáñez
2;2025;Caudete
2;2026;Cenizate
2;2029;Chinchilla de Monte-Aragón
2;2027;Corral-Rubio
2;2028;Cotillas
2;2030;Elche de la Sierra
2;2031;Férez
2;2032;Fuensanta
2;2033;Fuente-Álamo
2;2034;Fuentealbilla
2;2035;Gineta, La
2;2036;Golosalvo
2;2037;Hellín
2;2038;Herrera, La
2;2039;Higueruela
2;2040;Hoya-Gonzalo
2;2041;Jorquera
2;2042;Letur
2;2043;Lezuza
2;2044;Liétor
2;2045;Madrigueras
2;2046;Mahora
2;2047;Masegoso
2;2048;Minaya
2;2049;Molinicos
2;2050;Montalvos
2;2051;Montealegre del Castillo
2;2052;Motilleja
2;2053;Munera
2;2054;Navas de Jorquera
2;2055;Nerpio
2;2056;Ontur
2;2057;Ossa de Montiel
2;2058;Paterna del Madera
2;2060;Peñas de San Pedro
2;2059;Peñascosa
2;2061;Pétrola
2;2062;Povedilla
2;2901;Pozo Cañada
2;2063;Pozohondo
2;2064;Pozo-Lorente
2;2065;Pozuelo
2;2066;Recueja, La
2;2067;Riópar
2;2068;Robledo
2;2069;Roda, La
2;2070;Salobre
2;2071;San Pedro
2;2072;Socovos
2;2073;Tarazona de la Mancha
2;2074;Tobarra
2;2075;Valdeganga
2;2076;Vianos
2;2077;Villa de Ves
2;2078;Villalgordo del Júcar
2;2079;Villamalea
2;2080;Villapalacios
2;2081;Villarrobledo
2;2082;Villatoya
2;2083;Villavaliente
2;2084;Villaverde de Guadalimar
2;2085;Viveros
2;2086;Yeste
3;3001;Adsubia
3;3002;Agost
3;3003;Agres
3;3004;Aigües
3;3005;Albatera
3;3006;Alcalalí
3;3007;Alcocer de Planes
3;3008;Alcoleja
3;3009;Alcoy/Alcoi
3;3010;Alfafara
3;3011;Alfàs del Pi, l'
3;3012;Algorfa
3;3013;Algueña
3;3014;Alicante/Alacant
3;3015;Almoradí
3;3016;Almudaina
3;3017;Alqueria d'Asnar, l'
3;3018;Altea
3;3019;Aspe
3;3020;Balones
3;3021;Banyeres de Mariola
3;3022;Benasau
3;3023;Beneixama
3;3024;Benejúzar
3;3025;Benferri
