COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2001_SALDO_TOTAL,2001_SALDO_HOMBRES,2001_SALDO_MUJERES,2001_SALDOEXT_TOTAL,2001_SALDOEXT_HOMBRES,2001_SALDOEXT_MUJERES,2001_SALDOTOTAL_MENORES,2001_SALDOTOTAL_ESTUDIANTES,2001_SALDOTOTAL_TRABAJADORES,2001_SALDOTOTAL_MADUREZ1,2001_SALDOTOTAL_MADUREZ2,2001_SALDOTOTAL_JUBILADOS,2001_SALDOHOMBRES_MENORES,2001_SALDOHOMBRES_ESTUDIANTES,2001_SALDOHOMBRES_TRABAJADORES,2001_SALDOHOMBRES_MADUREZ1,2001_SALDOHOMBRES_MADUREZ2,2001_SALDOHOMBRES_JUBILADOS,2001_SALDOMUJERES_MENORES,2001_SALDOMUJERES_ESTUDIANTES,2001_SALDOMUJERES_TRABAJADORES,2001_SALDOMUJERES_MADUREZ1,2001_SALDOMUJERES_MADUREZ2,2001_SALDOMUJERES_JUBILADOS,2001_SALDOEXT_MENORES,2001_SALDOEXT_ESTUDIANTES,2001_SALDOEXT_TRABAJADORES,2001_SALDOEXT_MADUREZ1,2001_SALDOEXT_MADUREZ2,2001_SALDOEXT_JUBILADOS,2001_SALDOEXT_HOMBRES_MENORES,2001_SALDOEXT_HOMBRES_ESTUDIANTES,2001_SALDOEXT_HOMBRES_TRABAJADORES,2001_SALDOEXT_HOMBRES_MADUREZ1,2001_SALDOEXT_HOMBRES_MADUREZ2,2001_SALDOEXT_HOMBRES_JUBILADOS,2001_SALDOEXT_MUJERES_MENORES,2001_SALDOEXT_MUJERES_ESTUDIANTES,2001_SALDOEXT_MUJERES_TRABAJADORES,2001_SALDOEXT_MUJERES_MADUREZ1,2001_SALDOEXT_MUJERES_MADUREZ2,2001_SALDOEXT_MUJERES_JUBILADOS
1,1002,Amurrio,9753,-83,-47,-36,8,4,4,-6,-22,-45,-8,-6,5,-3,-7,-24,-7,-5,0,-3,-15,-21,-1,-1,5,1,2,2,3,0,0,0,1,1,2,0,0,1,1,1,1,0,0
1,1037,Arraia-Maeztu,712,23,17,6,11,7,4,1,0,9,4,6,2,3,0,6,2,3,2,-2,0,3,2,3,0,2,3,3,3,0,0,2,2,2,1,0,0,0,1,1,2,0,0
1,1004,Artziniega,1338,0,-1,1,3,2,1,-1,4,1,-3,1,-2,0,1,2,0,-1,-3,-1,3,-1,-3,2,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1,1009,Asparrena,1561,17,10,7,10,3,7,3,-1,-2,11,2,3,-2,1,3,7,1,0,5,-2,-5,4,1,3,2,3,2,2,0,0,0,1,1,1,0,0,2,2,1,1,0,0
1,1010,Ayala/Aiara,2031,73,43,30,2,1,1,7,8,43,4,13,-3,3,4,27,3,5,1,4,4,16,1,8,-4,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1011,Baños de Ebro/Mañueta,333,12,9,3,8,7,1,4,2,2,3,0,1,4,2,1,2,0,0,0,0,1,1,0,1,2,2,1,3,0,0,2,2,1,2,0,0,0,0,0,1,0,0
1,1014,Berantevilla,422,13,10,3,3,1,2,3,6,-2,0,3,3,3,5,-1,1,0,2,0,1,-1,-1,3,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1,1017,Campezo/Kanpezu,1062,-9,-3,-6,6,1,5,-2,-6,-3,-3,3,2,-2,-2,2,-2,1,0,0,-4,-5,-1,2,2,2,2,1,1,0,0,1,0,0,0,0,0,1,2,1,1,0,0
1,1021,Elburgo/Burgelu,269,46,31,15,6,5,1,6,5,4,23,5,2,4,2,3,16,4,1,2,3,1,7,1,1,0,0,3,3,0,0,0,0,2,3,0,0,0,0,1,0,0,0
1,1022,Elciego,905,24,15,9,18,11,7,3,6,13,2,0,-1,1,7,4,1,0,1,2,-1,9,1,0,-2,5,5,5,2,0,0,2,3,3,2,0,0,3,2,2,0,0,0
