COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2013_SALDOTOTAL,2013_SALDOTOTAL_HOMBRES,2013_SALDOTOTAL_MUJERES,2013_SALDOEXT_TOTAL,2013_SALDOEXT_HOMBRES,2013_SALDOEXT_MUJERES,2013_SALDOTOTAL_MENORES,2013_SALDOTOTAL_ESTUDIANTES,2013_SALDOTOTAL_TRABAJADORES,2013_SALDOTOTAL_MADUREZ1,2013_SALDOTOTAL_MADUREZ2,2013_SALDOTOTAL_JUBILADOS,2013_SALDOHOMBRES_MENORES,2013_SALDOHOMBRES_ESTUDIANTES,2013_SALDOHOMBRES_TRABAJADORES,2013_SALDOHOMBRES_MADUREZ1,2013_SALDOHOMBRES_MADUREZ2,2013_SALDOHOMBRES_JUBILADOS,2013_SALDOMUJERES_MENORES,2013_SALDOMUJERES_ESTUDIANTES,2013_SALDOMUJERES_TRABAJADORES,2013_SALDOMUJERES_MADUREZ1,2013_SALDOMUJERES_MADUREZ2,2013_SALDOMUJERES_JUBILADOS,2013_SALDOEXT_MENORES,2013_SALDOEXT_ESTUDIANTES,2013_SALDOEXT_TRABAJADORES,2013_SALDOEXT_MADUREZ1,2013_SALDOEXT_MADUREZ2,2013_SALDOEXT_JUBILADOS,2013_SALDOEXT_HOMBRES_MENORES,2013_SALDOEXT_HOMBRES_ESTUDIANTES,2013_SALDOEXT_HOMBRES_TRABAJADORES,2013_SALDOEXT_HOMBRES_MADUREZ1,2013_SALDOEXT_HOMBRES_MADUREZ2,2013_SALDOEXT_HOMBRES_JUBILADOS,2013_SALDOEXT_MUJERES_MENORES,2013_SALDOEXT_MUJERES_ESTUDIANTES,2013_SALDOEXT_MUJERES_TRABAJADORES,2013_SALDOEXT_MUJERES_MADUREZ1,2013_SALDOEXT_MUJERES_MADUREZ2,2013_SALDOEXT_MUJERES_JUBILADOS
1,1001,Alegría-Dulantzi,1329,41,25,16,17,9,8,4,4,17,8,0,9,7,2,5,7,0,5,-3,2,12,1,0,4,6,3,6,1,0,0,4,2,1,1,0,0,2,1,5,0,0,0
1,1002,Amurrio,9753,82,32,50,-13,-20,7,36,11,16,12,1,2,27,7,-3,4,-2,-3,9,4,19,8,3,5,-1,10,-11,-10,-1,1,2,4,-12,-10,-3,0,-3,6,1,0,2,1
1,1003,Aramaio,1373,-17,-10,-7,4,0,4,2,-1,-11,-3,-1,-3,2,-1,-9,-2,0,0,0,0,-2,-1,-1,-3,3,2,0,0,0,-1,1,1,-1,0,0,-1,2,1,1,0,0,0
1,1006,Armiñón,153,10,6,4,4,2,2,6,1,1,2,0,0,4,0,1,2,0,0,2,1,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,1,0,0,1,0,0
1,1037,Arraia-Maeztu,712,-13,-6,-7,0,1,-1,-1,2,-9,-2,0,-2,-1,2,-5,0,-2,1,0,0,-4,-2,2,-3,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0
1,1008,Arrazua-Ubarrundia,756,11,4,7,0,0,0,15,3,1,-5,2,-8,10,2,-1,-4,1,-5,5,1,2,-1,1,-3,-1,3,1,-3,0,0,0,0,1,-1,0,0,-1,3,0,-2,0,0
1,1004,Artziniega,1338,-10,-16,6,-3,-1,-2,-2,-6,-2,-4,-2,4,-5,-2,-6,0,-3,-3,3,-4,4,-4,1,7,-1,-1,-2,1,0,0,-1,0,-1,1,0,0,0,-1,-1,0,0,0
1,1009,Asparrena,1561,-28,-11,-17,0,1,-1,-6,-6,-2,-2,-5,-8,-2,0,-2,-3,-1,-3,-4,-6,0,1,-4,-5,4,-2,-4,2,-1,0,3,1,-3,1,-1,0,1,-3,-1,1,0,0
1,1010,Ayala/Aiara,2031,-14,-10,-4,3,-1,4,-9,-2,2,-15,9,0,-6,-3,-1,-9,7,1,-3,1,3,-6,2,-1,0,0,2,1,0,0,0,-1,0,0,0,0,0,1,2,1,0,0
1,1011,Baños de Ebro/Mañueta,333,6,2,4,6,2,4,1,1,5,0,0,-1,0,0,3,0,-1,0,1,1,2,0,1,-1,1,1,2,2,0,0,0,0,1,1,0,0,1,1,1,1,0,0
1,1013,Barrundia,590,-3,3,-6,-5,-4,-1,-3,-2,4,-5,-1,4,1,0,3,-3,-1,2,-4,-2,1,-2,0,2,0,-1,-2,-1,-1,0,0,0,-2,-1,-1,0,0,-1,0,0,0,0
1,1016,Bernedo,544,-9,-5,-4,0,-1,1,-1,-9,4,-4,4,-4,0,-4,-1,-4,4,0,-1,-5,5,0,0,-4,2,0,-2,0,0,0,1,0,-2,0,0,0,1,0,0,0,0,0
1,1017,Campezo/Kanpezu,1062,-32,-26,-6,-4,-4,0,-12,-3,-7,-5,-6,1,-10,-1,-6,-4,-6,1,-2,-2,-1,-1,0,0,-1,0,0,-2,-1,0,-1,0,0,-2,-1,0,0,0,0,0,0,0
1,1022,Elciego,905,21,14,7,2,2,0,5,5,7,0,4,0,1,3,6,3,1,0,4,2,1,-3,3,0,0,1,4,-4,0,1,0,1,2,-1,0,0,0,0,2,-3,0,1
1,1046,Erriberagoitia/Ribera Alta,515,-4,-3,-1,0,-1,1,7,-3,-5,-2,-2,1,2,1,-2,-4,-2,2,5,-4,-3,2,0,-1,2,0,-1,-1,0,0,2,0,-1,-2,0,0,0,0,0,1,0,0
1,1056,Harana/Valle de Arana,353,-5,-2,-3,-5,-4,-1,0,1,-1,-1,-2,-2,0,1,0,-1,-1,-1,0,0,-1,0,-1,-1,0,0,-1,-1,-3,0,0,0,0,-1,-3,0,0,0,-1,0,0,0
1,1901,Iruña Oka/Iruña de Oca,1674,-9,-5,-4,-7,-4,-3,0,-3,-4,-4,2,-4,-1,1,-4,-3,3,-3,1,-4,0,-1,-1,-1,0,-3,-2,-1,0,-1,1,-1,-2,-2,0,0,-1,-2,0,1,0,-1
1,1028,Labastida/Bastida,1195,9,8,1,5,2,3,1,0,14,-2,-2,-2,4,-2,11,-2,-2,-1,-3,2,3,0,0,-1,-1,2,2,2,1,-1,-1,0,1,2,0,0,0,2,1,0,1,-1
1,1031,Laguardia,1409,-7,-2,-5,2,1,1,-1,0,-3,-2,1,-2,-1,-2,3,-2,0,0,0,2,-6,0,1,-2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1032,Lanciego/Lantziego,642,3,2,1,5,2,3,0,3,3,-4,2,-1,-1,1,4,-2,0,0,1,2,-1,-2,2,-1,2,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0
1,1902,Lantarón,924,-3,2,-5,0,-2,2,2,2,-7,4,-1,-3,0,3,-2,0,0,1,2,-1,-5,4,-1,-4,-1,0,0,1,0,0,-1,-1,0,0,0,0,0,1,0,1,0,0
1,1033,Lapuebla de Labarca,872,37,20,17,3,2,1,14,10,13,1,2,-2,7,0,10,2,2,0,7,10,3,-1,0,-2,1,2,1,-1,0,0,1,0,1,0,0,0,0,2,0,-1,0,0
