SEXO,PROVNAC,MUNINAC,EDAD,MESNAC,ANONAC,CNAC,PROVALTA,MUNIALTA,MESVAR,ANOVAR,PROVBAJA,MUNIBAJA,TAMUALTA,TAMUBAJA,TAMUNACI,PROVMUNIALTA,PROVMUNIBAJA,GALALTA,GALBAJA
6,1,1,57,2,1943,108,1,59,9,2000,1,901,6,1,1,1059,1901,G253,G144
6,1,1,62,7,1938,108,39,14,7,2000,1,1,1,1,1,39014,1001,G094,G253
1,1,1,54,12,1945,108,20,39,5,2000,1,59,1,6,1,20039,1059,,G253
6,1,1,63,12,1936,108,48,20,6,2000,1,59,6,6,1,48020,1059,,G253
1,1,1,2,10,1997,108,48,72,9,2000,1,1,1,1,1,48072,1001,G253,G253
6,1,1,56,2,1943,108,1,901,1,2000,1,59,1,6,1,1901,1059,G144,G253
6,1,1,46,12,1953,108,29,51,7,2000,1,59,3,6,1,29051,1059,,G253
6,1,1,40,11,1960,126,17,193,11,2000,1,1,1,1,1,17193,1001,,G253
6,1,1,50,9,1950,108,1,1,10,2000,1,59,1,6,1,1001,1059,G253,G253
6,1,1,45,6,1955,108,3,133,11,2000,1,59,3,6,1,3133,1059,,G253
1,1,1,2,1,1998,108,39,75,1,2000,1,59,6,6,1,39075,1059,,G253
1,1,1,45,2,1955,108,1,59,10,2000,3,133,6,3,1,1059,3133,G253,
1,1,1,39,5,1961,108,43,123,9,2000,43,171,4,2,1,43123,43171,,
1,1,1,53,11,1946,108,1,59,1,2000,39,59,6,2,1,1059,39059,G253,G095
1,1,1,43,7,1957,108,1,59,11,2000,31,125,6,1,1,1059,31125,G253,G250
1,1,1,51,2,1949,108,31,72,3,2000,26,80,1,1,1,31072,26080,G251,G255
1,1,1,49,1,1951,108,20,36,8,2000,20,19,2,2,1,20036,20019,G253,G253
1,1,1,57,6,1943,108,20,79,8,2000,20,39,3,1,1,20079,20039,G253,
1,1,1,50,10,1949,108,39,163,3,2000,39,7,1,0,1,39163,39007,,G096
